Main URL,Record ID,Main Title,Publication Place,Publisher,Publication Date,Physical Description,Topical Subject,Resource URL,Alternative URL,Subtitle,Responsibility,Personal Author,Corporate Author,Abstract/Summary,Bibliography Note,Variant Title,Subject Source,System Control Number,Material Type,Language,ISSN/ISBN,Ilo Name,Leader (Format),Year
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313303402676,992313303402676,"15th congress of the general confederation of labour ( confederation generale du travail) (France), held at orleans the 27th September to the 2nd October, 1920.",Geneva :,"ILO,",1920.,35 p.,trade union federation.,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A14_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A14_engl.pdf,,,,International Labour Organisation.,"Report on the trade union federation policy in France, with excerpts from a C.G.T. Conference report, 1920 - discusses nationalization of railway transport, recent strike action of railway workers, problems of joint consultation in economic administration, international relations with ILO and international labour movement militancy. Conference held in Orleans 1920 Sep 27 to Oct 2.",,,ilot,160869,,,,ILO-SR/A14 ENGL,04616cam a22013814u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313253402676,992313253402676,4th international congress of bookbinders.,Geneva :,"ILO,",1920.,10 p.,international trade union,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A12_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A12_engl.pdf,,,,International Labour Organisation.,"Conference report of the international trade union of bookbinders in the printing industry, 1920 - includes resumption of international relations; examines questions of expatriate workers' trade union affiliation, financial aspects, and transfer of the international secretariat to Switzerland. Conference held in Berne 1920 Sep 28 to 30.",,,ilot,160864,,,,ILO-SR/A12 ENGL,03129cam a22009014u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992315163402676,992315163402676,Action of the Swiss government in dealing with unemployment.,Geneva :,"ILO,",1920.,15 p.,employment policy.,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C4_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C4_engl.pdf,,,,International Labour Organisation.,"Study of the employment policy for emergency relief in Switzerland, 1917 to 1920, to deal with unemployment caused by the First World War - describes the creation of a Federal Unemployment Fund (subsidies), a Federal Unemployment Relief Office (public works programme for employment creation), a contingency fund for unemployed nationals and foreigners, and plans for the gradual suppression of the relief measures.",,,ilot,161088,,,,ILO-SR/C4 ENGL,03814cam a22011054u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992258463402676,992258463402676,Admission of Germany and Austria to the International Labour Organisation.,Geneva :,"ILO,",1920.,15 P.,ILO,http://www.ilo.org/public/libdoc/ilo/1920/20B09_5_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_5_engl.pdf,,,,International Labour Organisation.,Record of the admission of Germany and Austria to the ILO as member states in 1919.,,,ilot,153323,,,,20B09/5 ENGL,01773cam a22006614u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992312763402676,992312763402676,Agreement between the Spanish workers' organisations.,Geneva :,"ILO,",1920.,11 p.,trade union federation.,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A1_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A1_engl.pdf,,,,International Labour Organisation.,"Memorandum on the agreement between the two central trade union federations: the Central Union of Workers and (the National Confederation of Labour in Spain, 1920 - gives the conditions and circumstances of this agreement in a Manifesto published in the organ of the socialist party; explains that in spite of their differences (the National Confederation being affiliated to the Communist International) the two organisations decided to move towards an amalgamation in order to influence the social policy, protect the working class and defend their civil rights.",,,ilot,ilb160814,,,,ILO-SR/A1 ENGL,03327cam a22009374u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/993080983402676,993080983402676,Agricultural questions: questionnaire.,Geneva :,"ILO,",1920.,83 P.,agricultural employment,http://www.ilo.org/public/libdoc/ilo/1920/20B09_13_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_13_engl.pdf,,,,International Labour Organisation.,"Based on data from published reports, government replies to a questionnaire and special documents prepared by certain countries. Provides information on legislation concerning employment issues in the agricultural sector in various member States.",,,ilot,259155,,,,20B09/13 ENGL,04393cam a22012974u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992312803402676,992312803402676,Annual meeting of the trades union congress 1920.,Geneva :,"ILO,",1920.,12 p.,trade union federation.,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A3_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A3_engl.pdf,,,,International Labour Organisation.,"Conference report on the 52nd annual meeting of UK trade union federation (TUC) in 1920 - discusses the miners labour dispute, creation of a council of action in relation with the USSR, trade union structure, relations with the socialist political party, affiliation to the international trade union movement, etc.; gives ILOs discussions on maternity benefit and unemployment, and hours of work of seafarers and agricultural workers; examines problems such as cost of living, housing, education, etc. Conference held in Portsmouth 1920 Sep 6 to 11.",,,ilot,ilb160818,,,,ILO-SR/A3 ENGL,05708cam a22017294u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992312863402676,992312863402676,British government and the miners' federation of Great Britain.,Geneva :,"ILO,",1920.,34 p.,coal miner,,,,,,International Labour Organisation.,"Conference report on the UK coal miners' strike of 1920, and discussions held between the President of the Board of Trade and the representative of the miners' federation - centres on the miners' claims for reduction in coal prices, and wage increase for shift work at differencial rates for men, young workers and boys (child labour). Conference held in London 1920 Jul 6.",,,ilot,160824,,,,ILO-SR/A5 ENGL,03796cam a22011654u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313183402676,992313183402676,British government and the miners' federation of Great Britain.,Geneva :,"ILO,",1920.,44 p.,government,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A10_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A10_engl.pdf,,,,International Labour Organisation.,"Verbatim report of negociation between representatives of government and the trade union federation of miners, railway workers and transport workers prior to the 1920 coal mining strike in the UK - (cf. ""Studies and Reports"", Series A no. 5); centres on failure of collective bargaining concerning wage increase, price maintenance for household coal and the creation of a commission to study questions of production control and wage payment system.",,,ilot,160857,,,,ILO-SR/A10 ENGL,05271cam a22015974u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992315103402676,992315103402676,British legislation on unemployment insurance.,Geneva :,"ILO,",1920.,15 p.,labour legislation,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C1_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C1_engl.pdf,,,,International Labour Organisation.,"Brief summary and comments on UK labour legislation on unemployment benefit, 1920 - summarises provisions of the 1920 Act; reviews the beginnings of unemployment insurance in the 1911 Act and its extension in the 1916 Act; shows that the 1920 Act provides for public scheme administered through employment services and a private scheme for members of trade unions, special schemes whereby industry may contract out of the general scheme and supplementary schemes which allow the rate of contribution and benefits to be adapted to the risks of each industry.",,,ilot,161082,,,,ILO-SR/C1 ENGL,03445cam a22009614u 4500,1919
